Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths"
United Kingdom,6/16/2015,0,0,1,1,,,,0
Sierra Leone,6/16/2015,4029,287,8649,12965,158,208,3553,3919
United States of America,6/16/2015,0,0,4,4,0,0,1,1
Senegal,6/16/2015,0,0,1,1,0,0,0,0
Italy,6/16/2015,0,0,1,1,,,,0
Nigeria,6/16/2015,0,1,19,20,0,1,7,8
Spain,6/16/2015,0,0,1,1,0,0,0,0
United States of America,6/17/2015,0,0,4,4,0,0,1,1
Sierra Leone,6/17/2015,4029,287,8649,12965,158,208,3553,3919
Nigeria,6/17/2015,0,1,19,20,0,1,7,8
United Kingdom,6/17/2015,0,0,1,1,,,,0
Italy,6/17/2015,0,0,1,1,,,,0
Senegal,6/17/2015,0,0,1,1,0,0,0,0
Spain,6/17/2015,0,0,1,1,0,0,0,0
Mali,6/17/2015,0,1,7,8,,,,6
Guinea,6/17/2015,10,419,3245,3674,,419,2025,2444
Liberia,6/17/2015,5636,1879,3151,10666,,,,4806
Sierra Leone,6/18/2015,4052,287,8651,12990,158,208,3556,3922
Liberia,6/18/2015,5636,1879,3151,10666,,,,4806
United States of America,6/18/2015,0,0,4,4,0,0,1,1
Italy,6/18/2015,0,0,1,1,,,,0
Senegal,6/18/2015,0,0,1,1,0,0,0,0
United Kingdom,6/18/2015,0,0,1,1,,,,0
Spain,6/18/2015,0,0,1,1,0,0,0,0
Nigeria,6/18/2015,0,1,19,20,0,1,7,8
Guinea,6/18/2015,10,419,3246,3675,,419,2026,2445
Mali,6/18/2015,0,1,7,8,,,,6
Mali,6/19/2015,0,1,7,8,,,,6
Sierra Leone,6/19/2015,4071,287,8654,13012,158,208,3560,3926
Nigeria,6/19/2015,0,1,19,20,0,1,7,8
Spain,6/19/2015,0,0,1,1,0,0,0,0
United States of America,6/19/2015,0,0,4,4,0,0,1,1
Senegal,6/19/2015,0,0,1,1,0,0,0,0
United Kingdom,6/19/2015,0,0,1,1,,,,0
Italy,6/19/2015,0,0,1,1,,,,0
Liberia,6/19/2015,5636,1879,3151,10666,,,,4806
Guinea,6/19/2015,8,419,3247,3674,,419,2027,2446
Liberia,6/22/2015,5636,1879,3151,10666,,,,4806
Spain,6/22/2015,0,0,1,1,0,0,0,0
United Kingdom,6/22/2015,0,0,1,1,,,,0
Italy,6/22/2015,0,0,1,1,,,,0
Guinea,6/22/2015,16,428,3254,3698,,428,2028,2456
Sierra Leone,6/22/2015,4107,287,8657,13051,158,208,3562,3928
Mali,6/22/2015,0,1,7,8,,,,6
United States of America,6/22/2015,0,0,4,4,0,0,1,1
Nigeria,6/22/2015,0,1,19,20,0,1,7,8
Senegal,6/22/2015,0,0,1,1,0,0,0,0
Italy,6/23/2015,0,0,1,1,,,,0
Sierra Leone,6/23/2015,4115,287,8657,13059,158,208,3562,3928
Liberia,6/23/2015,5636,1879,3151,10666,,,,4806
United Kingdom,6/23/2015,0,0,1,1,,,,0
Nigeria,6/23/2015,0,1,19,20,0,1,7,8
Senegal,6/23/2015,0,0,1,1,0,0,0,0
United States of America,6/23/2015,0,0,4,4,0,0,1,1
Spain,6/23/2015,0,0,1,1,0,0,0,0
Mali,6/23/2015,0,1,7,8,,,,6
Guinea,6/23/2015,18,443,3257,3718,,443,2030,2473
United States of America,6/24/2015,0,0,4,4,0,0,1,1
Sierra Leone,6/24/2015,4115,287,8657,13059,158,208,3562,3928
Senegal,6/24/2015,0,0,1,1,0,0,0,0
United Kingdom,6/24/2015,0,0,1,1,,,,0
Guinea,6/24/2015,18,443,3257,3718,,443,2030,2473
Liberia,6/24/2015,5636,1879,3151,10666,,,,4806
Mali,6/24/2015,0,1,7,8,,,,6
Italy,6/24/2015,0,0,1,1,,,,0
Nigeria,6/24/2015,0,1,19,20,0,1,7,8
Spain,6/24/2015,0,0,1,1,0,0,0,0
Nigeria,6/25/2015,0,1,19,20,0,1,7,8
Sierra Leone,6/25/2015,4136,287,8660,13083,158,208,3565,3931
Senegal,6/25/2015,0,0,1,1,0,0,0,0
